Issue_ID,Application_ID,Issue_Type,Severity,Original_Value,Corrected_Value,Resolution,Detected_By
DQ00161,APX1094217,Duplicate_Application_ID,Critical,APX1094217,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00162,APX1020226,Duplicate_Application_ID,Critical,APX1020226,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00163,APX1037878,Duplicate_Application_ID,Critical,APX1037878,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00164,APX1080773,Duplicate_Application_ID,Critical,APX1080773,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00165,APX1065239,Duplicate_Application_ID,Critical,APX1065239,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00166,APX1081825,Duplicate_Application_ID,Critical,APX1081825,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00167,APX1068197,Duplicate_Application_ID,Critical,APX1068197,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00168,APX1061192,Duplicate_Application_ID,Critical,APX1061192,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00169,APX1037834,Duplicate_Application_ID,Critical,APX1037834,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00170,APX1059388,Duplicate_Application_ID,Critical,APX1059388,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00171,APX1072113,Duplicate_Application_ID,Critical,APX1072113,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00172,APX1091625,Duplicate_Application_ID,Critical,APX1091625,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00173,APX1013659,Duplicate_Application_ID,Critical,APX1013659,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00174,APX1069407,Duplicate_Application_ID,Critical,APX1069407,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00175,APX1036031,Duplicate_Application_ID,Critical,APX1036031,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00176,APX1030743,Duplicate_Application_ID,Critical,APX1030743,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00177,APX1056958,Duplicate_Application_ID,Critical,APX1056958,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00178,APX1074438,Duplicate_Application_ID,Critical,APX1074438,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00179,APX1071487,Duplicate_Application_ID,Critical,APX1071487,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00180,APX1082863,Duplicate_Application_ID,Critical,APX1082863,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00181,APX1039622,Duplicate_Application_ID,Critical,APX1039622,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00182,APX1027652,Duplicate_Application_ID,Critical,APX1027652,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00183,APX1061644,Duplicate_Application_ID,Critical,APX1061644,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00184,APX1082249,Duplicate_Application_ID,Critical,APX1082249,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00185,APX1041742,Duplicate_Application_ID,Critical,APX1041742,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00186,APX1020829,Duplicate_Application_ID,Critical,APX1020829,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00187,APX1090705,Duplicate_Application_ID,Critical,APX1090705,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00188,APX1046705,Duplicate_Application_ID,Critical,APX1046705,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00189,APX1031212,Duplicate_Application_ID,Critical,APX1031212,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00190,APX1063012,Duplicate_Application_ID,Critical,APX1063012,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00191,APX1022080,Duplicate_Application_ID,Critical,APX1022080,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00192,APX1038787,Duplicate_Application_ID,Critical,APX1038787,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00193,APX1002184,Duplicate_Application_ID,Critical,APX1002184,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00194,APX1022501,Duplicate_Application_ID,Critical,APX1022501,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00195,APX1048526,Duplicate_Application_ID,Critical,APX1048526,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00196,APX1022770,Duplicate_Application_ID,Critical,APX1022770,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00197,APX1030787,Duplicate_Application_ID,Critical,APX1030787,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00198,APX1048769,Duplicate_Application_ID,Critical,APX1048769,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00199,APX1084693,Duplicate_Application_ID,Critical,APX1084693,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00200,APX1087144,Duplicate_Application_ID,Critical,APX1087144,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00201,APX1064612,Duplicate_Application_ID,Critical,APX1064612,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00202,APX1018146,Duplicate_Application_ID,Critical,APX1018146,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00203,APX1009949,Duplicate_Application_ID,Critical,APX1009949,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00204,APX1075802,Duplicate_Application_ID,Critical,APX1075802,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00205,APX1023676,Duplicate_Application_ID,Critical,APX1023676,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00206,APX1084614,Duplicate_Application_ID,Critical,APX1084614,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00207,APX1019113,Duplicate_Application_ID,Critical,APX1019113,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00208,APX1076793,Duplicate_Application_ID,Critical,APX1076793,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00209,APX1057661,Duplicate_Application_ID,Critical,APX1057661,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00210,APX1078330,Duplicate_Application_ID,Critical,APX1078330,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00211,APX1033862,Duplicate_Application_ID,Critical,APX1033862,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00212,APX1046725,Duplicate_Application_ID,Critical,APX1046725,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00213,APX1057675,Duplicate_Application_ID,Critical,APX1057675,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00214,APX1031246,Duplicate_Application_ID,Critical,APX1031246,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00215,APX1080158,Duplicate_Application_ID,Critical,APX1080158,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00216,APX1082514,Duplicate_Application_ID,Critical,APX1082514,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00217,APX1043684,Duplicate_Application_ID,Critical,APX1043684,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00218,APX1039939,Duplicate_Application_ID,Critical,APX1039939,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00219,APX1023804,Duplicate_Application_ID,Critical,APX1023804,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00220,APX1005647,Duplicate_Application_ID,Critical,APX1005647,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00221,APX1061667,Duplicate_Application_ID,Critical,APX1061667,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00222,APX1099052,Duplicate_Application_ID,Critical,APX1099052,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00223,APX1064854,Duplicate_Application_ID,Critical,APX1064854,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00224,APX1017329,Duplicate_Application_ID,Critical,APX1017329,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00225,APX1022161,Duplicate_Application_ID,Critical,APX1022161,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00226,APX1035897,Duplicate_Application_ID,Critical,APX1035897,,"Quarantine duplicate occurrence, retain first",duplicate_check
DQ00227,APX1053776,Duplicate_Application_ID,Critical,APX1053776,,"Quarantine duplicate occurrence, retain first",duplicate_check
